matricula,mediaNotas,menorNota,maiorNota,quantidadeDisciplinasCursadas,quantidadeAprovacoes,quantidadeReprovacoes,mediaAprovadas,mediaReprovadas,cargaHorariaPassada,taxaDeSucesso,semestrePassado,anosMatriculado,menorNota_cat,maiorNota_cat,mediaNotas_cat,mediaAprovadas_cat,mediaReprovadas_cat,cargaHorariaPassada_cat
2010043359,5.4799999999999995,0.0,9.9,5,4,1,6.85,0.0,300.0,0.8,2015.1,5,baixa,alta,media,media,baixa,media
2010043367,1.8333333333333333,0.0,7.5,6,1,5,7.5,0.7,390.0,0.16666666666666666,2015.1,5,baixa,alta,baixa,alta,baixa,media
2010043430,5.214285714285714,0.0,10.0,7,4,3,8.15,1.3,405.0,0.5714285714285714,2015.1,5,baixa,,media,alta,baixa,media
2010043456,6.485714285714286,3.9,8.1,7,6,1,6.916666666666667,3.9,480.0,0.8571428571428571,2015.1,5,baixa,alta,media,media,baixa,alta
2010043480,5.4142857142857155,1.5,7.8,7,5,2,6.580000000000001,2.5,420.0,0.7142857142857143,2015.1,5,baixa,alta,media,media,baixa,alta
2010043561,5.128571428571428,0.7,7.3,7,5,2,6.639999999999999,1.35,360.0,0.7142857142857143,2015.1,5,baixa,alta,media,media,baixa,media
2010043600,4.085714285714286,1.4,8.6,7,3,4,6.566666666666666,2.225,420.0,0.42857142857142855,2015.1,5,baixa,alta,baixa,media,baixa,alta
2010043723,7.2250000000000005,5.3,8.3,4,4,0,7.2250000000000005,0.0,240.0,1.0,2015.1,5,media,alta,alta,alta,baixa,baixa
2010043766,3.5,1.9,5.1,2,1,1,5.1,1.9,120.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010043774,5.7,3.7,8.2,3,2,1,6.699999999999999,3.7,180.0,0.6666666666666666,2015.1,5,baixa,alta,media,media,baixa,baixa
2010043804,7.142857142857144,6.1,8.3,7,7,0,7.142857142857144,0.0,420.0,1.0,2015.1,5,media,alta,alta,alta,baixa,alta
2010043871,3.0500000000000003,0.0,6.3,6,2,4,5.8,1.675,330.0,0.3333333333333333,2015.1,5,baixa,media,baixa,media,baixa,media
2010043880,6.800000000000001,5.0,9.3,6,6,0,6.800000000000001,0.0,300.0,1.0,2015.1,5,media,alta,media,media,baixa,media
2010043901,2.45,0.0,7.2,4,1,3,7.2,0.8666666666666667,240.0,0.25,2015.1,5,baixa,alta,baixa,alta,baixa,baixa
2010043910,3.5799999999999996,0.9,8.4,5,2,3,6.7,1.5,390.0,0.4,2015.1,5,baixa,alta,baixa,media,baixa,media
2010043936,0.3,0.0,0.8,5,0,5,0.0,0.3,300.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,media
2010044053,2.98,0.0,7.0,5,2,3,6.0,0.9666666666666668,300.0,0.4,2015.1,5,baixa,alta,baixa,media,baixa,media
2010044118,4.8999999999999995,2.4,7.0,6,3,3,6.1000000000000005,3.7000000000000006,380.0,0.5,2015.1,5,baixa,alta,baixa,media,baixa,media
2010044274,6.516666666666666,5.3,7.8,6,6,0,6.516666666666666,0.0,360.0,1.0,2015.1,5,media,alta,media,media,baixa,media
2010044312,3.2600000000000002,0.0,8.0,5,1,4,8.0,2.075,330.0,0.2,2015.1,5,baixa,alta,baixa,alta,baixa,media
2010044320,6.666666666666667,5.2,8.8,6,6,0,6.666666666666667,0.0,360.0,1.0,2015.1,5,media,alta,media,media,baixa,media
2010044347,1.78,0.0,5.9,5,1,4,5.9,0.75,390.0,0.2,2015.1,5,baixa,media,baixa,media,baixa,media
2010044363,0.03333333333333333,0.0,0.1,3,0,3,0.0,0.03333333333333333,220.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,baixa
2010044380,6.166666666666667,5.0,7.8,6,6,0,6.166666666666667,0.0,360.0,1.0,2015.1,5,media,alta,media,media,baixa,media
2010044428,2.95,0.0,5.8,4,2,2,5.5,0.4,240.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010044517,2.433333333333333,0.8,5.0,3,1,2,5.0,1.15,210.0,0.3333333333333333,2015.1,5,baixa,media,baixa,media,baixa,baixa
